0, 3.0, 0.606, 2.0, 5.88, 106.291
0, 2.97, 0.588, 2.0, 6.18, 139.469
0, 2.55, 0.672, 2.34, 6.0, 140.851
0, 2.91, 0.6, 2.34, 6.0, 115.507
0, 3.0, 0.522, 2.0, 6.6, 148.378
0, 3.0, 0.51, 1.78, 6.54, 158.515
0, 2.97, 0.498, 2.0, 6.0, 143.462
0, 3.0, 0.714, 2.1, 4.86, 186.317
0, 3.54, 0.648, 2.0, 5.22, 203.981
0, 3.06, 0.57, 2.0, 6.78, 105.83
1, 2.73, 0.636, 2.34, 6.0, 137.626
1, 2.985, 0.504, 1.89, 6.27, 149.606
1, 3.225, 0.624, 2.17, 5.61, 119.808
1, 2.985, 0.51, 2.0, 6.3, 166.502
1, 3.0, 0.54468, 1.94, 5.7, 185.549
1, 2.955, 0.657, 2.22, 5.43, 165.427
1, 3.06, 0.57, 2.0, 6.78, 125.645
1, 2.775, 0.591, 2.06, 6.27, 225.024
1, 3.27, 0.585, 2.0, 5.91, 202.906
1, 2.955, 0.555, 2.06, 6.27, 161.434
2, 2.73, 0.636, 2.34, 6.0, 176.794
2, 2.985, 0.504, 1.89, 6.27, 164.813
2, 3.225, 0.624, 2.17, 5.61, 158.669
2, 2.985, 0.51, 2.0, 6.3, 129.946
2, 3.0, 0.54468, 1.94, 5.7, 147.149
2, 2.955, 0.657, 2.22, 5.43, 188.467
2, 3.06, 0.57, 2.0, 6.78, 143.923
2, 2.775, 0.591, 2.06, 6.27, 225.178
2, 3.27, 0.585, 2.0, 5.91, 205.056
2, 2.955, 0.555, 2.06, 6.27, 135.629
2, 2.985, 0.606, 2.05, 5.43, 141.773
2, 3.0, 0.51, 1.78, 6.54, -1
2, 3.2475, 0.6015, 2.03, 5.745, 140.39
2, 2.865, 0.675, 2.22, 5.43, 153.293
2, 2.7525, 0.6645, 2.28, 5.715, 157.747
2, 2.9625, 0.5775, 2.11, 5.715, 143.309
2, 3.0, 0.66, 2.05, 5.37, 176.333
2, 2.8575, 0.57, 2.115, 6.135, 250.829
2, 3.54825, 0.573, 2.085, 6.105, 135.936
2, 2.865, 0.573, 2.06, 6.27, 141.926
3, 2.73, 0.636, 2.34, 6.0, 161.856
3, 2.985, 0.504, 1.89, 6.27, 177.869
3, 3.225, 0.624, 2.17, 5.61, 157.747
3, 2.985, 0.51, 2.0, 6.3, 113.203
3, 3.0, 0.54468, 1.94, 5.7, 175.411
3, 2.955, 0.657, 2.22, 5.43, 158.669
3, 3.06, 0.57, 2.0, 6.78, 132.557
3, 2.775, 0.591, 2.06, 6.27, 151.45
3, 3.27, 0.585, 2.0, 5.91, 120.422
3, 2.955, 0.555, 2.06, 6.27, 116.582
3, 2.985, 0.606, 2.05, 5.43, 156.518
3, 3.0, 0.51, 1.78, 6.54, 170.957
3, 3.2475, 0.6015, 2.03, 5.745, 115.354
3, 2.865, 0.675, 2.22, 5.43, 192.307
3, 2.7525, 0.6645, 2.28, 5.715, 123.802
3, 2.9625, 0.5775, 2.11, 5.715, 115.354
3, 3.0, 0.66, 2.05, 5.37, 121.344
3, 2.8575, 0.57, 2.115, 6.68715, 157.901
3, 3.54825, 0.573, 2.085, 6.105, 122.419
3, 2.865, 0.573, 2.06, 6.27, 117.35
3, 3.09, 0.5895, 2.115, 5.94, 161.741
3, 2.8425, 0.5955, 2.2, 6.135, 117.35
3, 2.8875, 0.5865, 2.2, 6.135, 112.128
3, 3.0675, 0.579, 2.03, 6.09, 105.523
3, 2.73, 0.636, 2.34, 6.0, 175.565
3, 2.90625, 0.61725, 2.14, 6.2475, 128.717
3, 2.8875, 0.5505, 1.92, 6.405, 103.987
3, 3.266625, 0.5385, 1.9875, 6.1875, 132.096
3, 2.865, 0.675, 2.22, 5.43, 120.115
3, 2.985, 0.606, 2.05, 5.43, 195.686
4, 2.73, 0.636, 2.34, 6.0, -1
4, 2.985, 0.504, 1.89, 6.27, -1
4, 3.225, 0.624, 2.17, 5.61, 155.75
4, 2.985, 0.51, 2.0, 6.3, 199.219
4, 3.0, 0.54468, 1.94, 5.7, 180.634
4, 2.955, 0.657, 2.22, 5.43, 165.734
4, 3.06, 0.57, 2.0, 6.78, 203.827
4, 2.775, 0.591, 2.06, 6.27, 157.286
4, 3.27, 0.585, 2.0, 5.91, 276.634
4, 2.955, 0.555, 2.06, 6.27, 126.106
4, 2.985, 0.606, 2.05, 5.43, 274.637
4, 3.0, 0.51, 1.78, 6.54, 189.542
